"","YYYY.MM.DD.DOY.","planting_date","harvest_date","yield","used_biomass","irrigation_demand","precipitation","county","crop","lat","long"
"1","1980-08-27(240)",1980130,1980240,15147.19043,0,421.828766,86.074997,"Okanogan","corn","48.15625N","119.71875W"
"2","1981-08-21(233)",1981130,1981233,15926.3877,0,427.074036,100.550003,"Okanogan","corn","48.15625N","119.71875W"
"3","1982-08-16(228)",1982130,1982228,13489.79102,0,363.383331,97.675003,"Okanogan","corn","48.15625N","119.71875W"
"4","1983-08-19(231)",1983130,1983231,15263.73731,0,382.292114,101.824997,"Okanogan","corn","48.15625N","119.71875W"
"5","1984-08-22(235)",1984130,1984235,13779.91113,0,391.802673,90.575005,"Okanogan","corn","48.15625N","119.71875W"
"6","1985-08-04(216)",1985130,1985216,13920.44824,0,445.965393,28.174999,"Okanogan","corn","48.15625N","119.71875W"
"7","1986-08-10(222)",1986130,1986222,13722.78613,0,405.909058,22.575001,"Okanogan","corn","48.15625N","119.71875W"
"8","1987-08-13(225)",1987130,1987225,14043.31934,0,393.008881,78.824997,"Okanogan","corn","48.15625N","119.71875W"
"9","1988-08-16(229)",1988130,1988229,14365.99219,0,424.182007,50.25,"Okanogan","corn","48.15625N","119.71875W"
"10","1989-08-18(230)",1989130,1989230,13565.94434,0,405.157379,81.974998,"Okanogan","corn","48.15625N","119.71875W"
"11","1990-08-14(226)",1990130,1990226,12872.875,0,385.648712,141.125,"Okanogan","corn","48.15625N","119.71875W"
"12","1991-08-19(231)",1991130,1991231,14308.9541,0,377.364471,115.625,"Okanogan","corn","48.15625N","119.71875W"
"13","1992-08-05(218)",1992130,1992218,12878.33301,0,331.857208,135.199997,"Okanogan","corn","48.15625N","119.71875W"
"14","1993-08-17(229)",1993130,1993229,16326.79199,0,350.894928,142.600006,"Okanogan","corn","48.15625N","119.71875W"
"15","1994-08-09(221)",1994130,1994221,13942.84961,0,412.341064,55.275002,"Okanogan","corn","48.15625N","119.71875W"
"16","1995-08-15(227)",1995130,1995227,14279.04102,0,389.375732,43.150002,"Okanogan","corn","48.15625N","119.71875W"
"17","1996-08-18(231)",1996130,1996231,14089.01367,0,411.801422,55.525002,"Okanogan","corn","48.15625N","119.71875W"
"18","1997-08-18(230)",1997130,1997230,15432.03906,0,376.910767,108.050003,"Okanogan","corn","48.15625N","119.71875W"
"19","1998-08-08(220)",1998130,1998220,12743.04785,0,331.235016,128.099991,"Okanogan","corn","48.15625N","119.71875W"
"20","1999-08-24(236)",1999130,1999236,14235.02832,0,409.907684,41.825001,"Okanogan","corn","48.15625N","119.71875W"
"21","2000-08-17(230)",2000130,2000230,14763.81445,0,416.722443,44.849998,"Okanogan","corn","48.15625N","119.71875W"
"22","2001-08-15(227)",2001130,2001227,15291.72656,0,423.438477,44.674999,"Okanogan","corn","48.15625N","119.71875W"
"23","2002-08-14(226)",2002130,2002226,13515.97461,0,418.662079,27.950001,"Okanogan","corn","48.15625N","119.71875W"
"24","2003-08-06(218)",2003130,2003218,13478.25488,0,422.993256,7.675,"Okanogan","corn","48.15625N","119.71875W"
"25","2004-08-09(222)",2004130,2004222,13306.15234,0,389.310425,78.175003,"Okanogan","corn","48.15625N","119.71875W"
"26","2005-08-13(225)",2005130,2005225,14699.75195,0,401.772583,61.75,"Okanogan","corn","48.15625N","119.71875W"
"27","2006-08-07(219)",2006130,2006219,13865.88574,0,387.842468,72.75,"Okanogan","corn","48.15625N","119.71875W"
"28","2007-08-08(220)",2007130,2007220,13454.44043,0,393.656311,35.475002,"Okanogan","corn","48.15625N","119.71875W"
"29","2008-08-12(225)",2008130,2008225,15096.0625,0,434.888031,33.849998,"Okanogan","corn","48.15625N","119.71875W"
"30","2009-08-04(216)",2009130,2009216,14124.79981,0,414.530609,29.275,"Okanogan","corn","48.15625N","119.71875W"
"31","2010-08-18(230)",2010130,2010230,14373.91406,0,403.557495,112.974998,"Okanogan","corn","48.15625N","119.71875W"
"32","2011-08-26(238)",2011130,2011238,15418.65234,0,426.787994,103.224998,"Okanogan","corn","48.15625N","119.71875W"
"33","2012-08-14(227)",2012130,2012227,13474.34473,0,349.939575,89.724998,"Okanogan","corn","48.15625N","119.71875W"
"34","2013-08-10(222)",2013130,2013222,13646.17383,0,400.795166,78.224998,"Okanogan","corn","48.15625N","119.71875W"
"35","2014-08-05(217)",2014130,2014217,13591.09375,0,389.473602,40.700001,"Okanogan","corn","48.15625N","119.71875W"
"36","2015-07-26(207)",2015130,2015207,11637.11621,0,380.321777,41.875,"Okanogan","corn","48.15625N","119.71875W"
"37","2016-08-13(226)",2016130,2016226,14943.37402,0,403.366577,51.950001,"Okanogan","corn","48.15625N","119.71875W"
"38","2017-08-08(220)",2017130,2017220,13709.53125,0,420.657501,21.424999,"Okanogan","corn","48.15625N","119.71875W"
"39","2018-08-07(219)",2018130,2018219,15536.19336,0,448.912018,23.225,"Okanogan","corn","48.15625N","119.71875W"
"40","2019-08-09(221)",2019130,2019221,14588.97949,0,425.089081,56.224998,"Okanogan","corn","48.15625N","119.71875W"
"41","1980-09-10(254)",1980130,1980254,15388.46289,0,384,121.825005,"Okanogan","corn","48.96875N","119.65625W"
"42","1981-08-27(239)",1981130,1981239,16368.91602,0,376,132.75,"Okanogan","corn","48.96875N","119.65625W"
"43","1982-08-23(235)",1982130,1982235,13301.2207,0,296,139.625,"Okanogan","corn","48.96875N","119.65625W"
"44","1983-08-28(240)",1983130,1983240,16489.55078,0,320,142.625,"Okanogan","corn","48.96875N","119.65625W"
"45","1984-08-31(244)",1984130,1984244,13787.7002,0,352,125.25,"Okanogan","corn","48.96875N","119.65625W"
"46","1985-08-13(225)",1985130,1985225,13424.77832,0,384,49.024998,"Okanogan","corn","48.96875N","119.65625W"
"47","1986-08-17(229)",1986130,1986229,14312.48535,0,384,44.799999,"Okanogan","corn","48.96875N","119.65625W"
"48","1987-08-24(236)",1987130,1987236,14123.3418,0,336,110.200005,"Okanogan","corn","48.96875N","119.65625W"
"49","1988-08-27(240)",1988130,1988240,14701.77051,0,400,70.200005,"Okanogan","corn","48.96875N","119.65625W"
"50","1989-08-30(242)",1989130,1989242,14870.94043,0,384,122.725006,"Okanogan","corn","48.96875N","119.65625W"
"51","1990-08-23(235)",1990130,1990235,13013.8584,0,336,209.699997,"Okanogan","corn","48.96875N","119.65625W"
"52","1991-08-28(240)",1991130,1991240,14650.50684,0,336,137.199997,"Okanogan","corn","48.96875N","119.65625W"
"53","1992-08-14(227)",1992130,1992227,13550.9541,0,272,166.474991,"Okanogan","corn","48.96875N","119.65625W"
"54","1993-08-30(242)",1993130,1993242,17866.1582,0,320,179.900009,"Okanogan","corn","48.96875N","119.65625W"
"55","1994-08-18(230)",1994130,1994230,13886.27539,0,376,77.325005,"Okanogan","corn","48.96875N","119.65625W"
"56","1995-08-28(240)",1995130,1995240,15034.63672,0,352,74.5,"Okanogan","corn","48.96875N","119.65625W"
"57","1996-08-27(240)",1996130,1996240,14559.42773,0,384,90.300003,"Okanogan","corn","48.96875N","119.65625W"
"58","1997-08-25(237)",1997130,1997237,16117.01172,0,336,149.774994,"Okanogan","corn","48.96875N","119.65625W"
"59","1998-08-14(226)",1998130,1998226,13046.94922,0,312,152.899994,"Okanogan","corn","48.96875N","119.65625W"
"60","1999-09-09(252)",1999130,1999252,14432.71484,0,360,82.050003,"Okanogan","corn","48.96875N","119.65625W"
"61","2000-08-28(241)",2000130,2000241,15099.58106,0,400,57.424999,"Okanogan","corn","48.96875N","119.65625W"
"62","2001-08-23(235)",2001130,2001235,15866.76367,0,392,58.799999,"Okanogan","corn","48.96875N","119.65625W"
"63","2002-08-22(234)",2002130,2002234,13698.40234,0,392,40.049999,"Okanogan","corn","48.96875N","119.65625W"
"64","2003-08-12(224)",2003130,2003224,13012.73633,0,400,10.975,"Okanogan","corn","48.96875N","119.65625W"
"65","2004-08-15(228)",2004130,2004228,13312.25195,0,352,111.325005,"Okanogan","corn","48.96875N","119.65625W"
"66","2005-08-22(234)",2005130,2005234,15176.01953,0,368,95.449997,"Okanogan","corn","48.96875N","119.65625W"
"67","2006-08-14(226)",2006130,2006226,13616.83496,0,352,85.900002,"Okanogan","corn","48.96875N","119.65625W"
"68","2007-08-15(227)",2007130,2007227,13292.56055,0,360,51.075001,"Okanogan","corn","48.96875N","119.65625W"
"69","2008-08-18(231)",2008130,2008231,15963.22559,0,408,66.950005,"Okanogan","corn","48.96875N","119.65625W"
"70","2009-08-13(225)",2009130,2009225,13059.22754,0,368,50.074997,"Okanogan","corn","48.96875N","119.65625W"
"71","2010-08-30(242)",2010130,2010242,14907.5293,0,392,156.449997,"Okanogan","corn","48.96875N","119.65625W"
"72","2011-08-30(242)",2011130,2011242,16533.98242,0,440,123.324997,"Okanogan","corn","48.96875N","119.65625W"
"73","2012-08-17(230)",2012130,2012230,13871.75,0,320,113.925003,"Okanogan","corn","48.96875N","119.65625W"
"74","2013-08-12(224)",2013130,2013224,13004.92676,0,344,100.574997,"Okanogan","corn","48.96875N","119.65625W"
"75","2014-08-14(226)",2014130,2014226,13270.83106,0,352,54.875,"Okanogan","corn","48.96875N","119.65625W"
"76","2015-08-04(216)",2015130,2015216,12212.22559,0,344,57.150002,"Okanogan","corn","48.96875N","119.65625W"
"77","2016-08-18(231)",2016130,2016231,13540.8584,0,336,93.774994,"Okanogan","corn","48.96875N","119.65625W"
"78","2017-08-12(224)",2017130,2017224,13587.65918,0,408,47.674999,"Okanogan","corn","48.96875N","119.65625W"
"79","2018-08-11(223)",2018130,2018223,16134.57422,0,416,39.849998,"Okanogan","corn","48.96875N","119.65625W"
"80","2019-08-13(225)",2019130,2019225,14590.85254,0,392,93.300003,"Okanogan","corn","48.96875N","119.65625W"
"81","1981-07-16(197)",1980258,1981197,10366.39844,0,405.128357,310.875,"Okanogan","wheat","48.15625N","119.71875W"
"82","1982-07-15(196)",1981258,1982196,9457.986328,0,414.090546,381.25,"Okanogan","wheat","48.15625N","119.71875W"
"83","1983-07-10(191)",1982258,1983191,10061.19336,0,407.043427,463.625,"Okanogan","wheat","48.15625N","119.71875W"
"84","1984-07-21(203)",1983258,1984203,10281.16895,0,433.641724,412.725006,"Okanogan","wheat","48.15625N","119.71875W"
"85","1985-07-17(198)",1984258,1985198,8995.089844,0,490.535095,226.75,"Okanogan","wheat","48.15625N","119.71875W"
"86","1986-07-14(195)",1985258,1986195,8952.376953,0,483.462463,245.699997,"Okanogan","wheat","48.15625N","119.71875W"
"87","1987-07-02(183)",1986258,1987183,8872.629883,0,449.233368,254.375015,"Okanogan","wheat","48.15625N","119.71875W"
"88","1988-07-02(184)",1987258,1988184,9600.966797,0,369.773621,245.149994,"Okanogan","wheat","48.15625N","119.71875W"
"89","1989-07-16(197)",1988258,1989197,9374.800781,0,433.866516,295.949982,"Okanogan","wheat","48.15625N","119.71875W"
"90","1990-07-05(186)",1989258,1990186,9798.738281,0,328.411163,288.899994,"Okanogan","wheat","48.15625N","119.71875W"
"91","1991-07-08(189)",1990258,1991189,10281.00977,0,370.405884,253.800003,"Okanogan","wheat","48.15625N","119.71875W"
"92","1992-06-23(175)",1991258,1992175,9679.865234,0,449.144653,217.700012,"Okanogan","wheat","48.15625N","119.71875W"
"93","1993-07-16(197)",1992258,1993197,9187.69043,0,389.319489,329.425018,"Okanogan","wheat","48.15625N","119.71875W"
"94","1994-07-11(192)",1993258,1994192,9713.485352,0,400.573608,239.150009,"Okanogan","wheat","48.15625N","119.71875W"
"95","1995-07-04(185)",1994258,1995185,9961.395508,0,411.257568,404.75,"Okanogan","wheat","48.15625N","119.71875W"
"96","1996-07-15(197)",1995258,1996197,10185.79395,0,428.03894,324,"Okanogan","wheat","48.15625N","119.71875W"
"97","1997-07-25(206)",1996258,1997206,9400.491211,0,375.520386,411.924988,"Okanogan","wheat","48.15625N","119.71875W"
"98","1998-07-06(187)",1997258,1998187,9592.926758,0,345.556946,416.850006,"Okanogan","wheat","48.15625N","119.71875W"
"99","1999-07-16(197)",1998258,1999197,10261.41309,0,441.541931,318.950012,"Okanogan","wheat","48.15625N","119.71875W"
"100","2000-07-07(189)",1999258,2000189,10146.68555,0,426.820007,248.699997,"Okanogan","wheat","48.15625N","119.71875W"
"101","2001-07-18(199)",2000258,2001199,9665.266602,0,477.826477,184.974991,"Okanogan","wheat","48.15625N","119.71875W"
"102","2002-07-12(193)",2001258,2002193,9913.212891,0,477.818115,253.149994,"Okanogan","wheat","48.15625N","119.71875W"
"103","2003-07-07(188)",2002258,2003188,9778.816406,0,416.644348,301.099976,"Okanogan","wheat","48.15625N","119.71875W"
"104","2004-06-30(182)",2003258,2004182,10060.78516,0,407.361084,252.950012,"Okanogan","wheat","48.15625N","119.71875W"
"105","2005-07-08(189)",2004258,2005189,9948.705078,0,371.775391,258.450012,"Okanogan","wheat","48.15625N","119.71875W"
"106","2006-07-08(189)",2005258,2006189,9762.585938,0,392.184937,408.225006,"Okanogan","wheat","48.15625N","119.71875W"
"107","2007-07-13(194)",2006258,2007194,9856.399414,0,463.196594,271.899994,"Okanogan","wheat","48.15625N","119.71875W"
"108","2008-07-17(199)",2007258,2008199,9299.320312,0,470.379578,216.675003,"Okanogan","wheat","48.15625N","119.71875W"
"109","2009-07-06(187)",2008258,2009187,9703.055664,0,478.874542,241.824997,"Okanogan","wheat","48.15625N","119.71875W"
"110","2010-07-09(190)",2009258,2010190,10713.64844,0,375.775574,339.100006,"Okanogan","wheat","48.15625N","119.71875W"
"111","2011-07-22(203)",2010258,2011203,10101.11426,0,413.620239,370.149994,"Okanogan","wheat","48.15625N","119.71875W"
"112","2012-07-17(199)",2011258,2012199,9671.439453,0,423.386505,304.600006,"Okanogan","wheat","48.15625N","119.71875W"
"113","2013-07-03(184)",2012258,2013184,9643.489258,0,381.744354,329.699982,"Okanogan","wheat","48.15625N","119.71875W"
"114","2014-07-06(187)",2013258,2014187,10076.6543,0,450.203064,210.375,"Okanogan","wheat","48.15625N","119.71875W"
"115","2015-06-19(170)",2014258,2015170,9262.867188,0,372.540253,293.574982,"Okanogan","wheat","48.15625N","119.71875W"
"116","2016-06-26(178)",2015258,2016178,9408.008789,0,407.084473,410.849976,"Okanogan","wheat","48.15625N","119.71875W"
"117","2017-07-04(185)",2016258,2017185,9699.069336,0,388.100708,437.674988,"Okanogan","wheat","48.15625N","119.71875W"
"118","2018-07-11(192)",2017258,2018192,9240.329102,0,426.761505,362.899994,"Okanogan","wheat","48.15625N","119.71875W"
"119","2019-07-08(189)",2018258,2019189,9537.6875,0,437.009583,243.550003,"Okanogan","wheat","48.15625N","119.71875W"
"120","1981-07-31(212)",1980258,1981212,10589.4707,0,369.552887,346.949982,"Okanogan","wheat","48.53125N","119.59375W"
"121","1982-07-29(210)",1981258,1982210,8937.667969,0,389.367493,458.625,"Okanogan","wheat","48.53125N","119.59375W"
"122","1983-07-25(206)",1982258,1983206,9727.40918,0,342.042694,548.099976,"Okanogan","wheat","48.53125N","119.59375W"
"123","1984-08-03(216)",1983258,1984216,9333.15332,0,367.860626,449,"Okanogan","wheat","48.53125N","119.59375W"
"124","1985-07-27(208)",1984258,1985208,7832.006836,0,407.472839,223.550003,"Okanogan","wheat","48.53125N","119.59375W"
"125","1986-07-30(211)",1985258,1986211,8023.29248,0,429.532928,249.950012,"Okanogan","wheat","48.53125N","119.59375W"
"126","1987-07-15(196)",1986258,1987196,8720.053711,0,391.937469,289.524994,"Okanogan","wheat","48.53125N","119.59375W"
"127","1988-07-22(204)",1987258,1988204,9971.100586,0,347.039886,275.125,"Okanogan","wheat","48.53125N","119.59375W"
"128","1989-07-27(208)",1988258,1989208,9687.779297,0,398.055634,352.725006,"Okanogan","wheat","48.53125N","119.59375W"
"129","1990-07-21(202)",1989258,1990202,10064.52539,0,292.320404,368.625,"Okanogan","wheat","48.53125N","119.59375W"
"130","1991-07-26(207)",1990258,1991207,10120.98828,0,349.759308,284.175018,"Okanogan","wheat","48.53125N","119.59375W"
"131","1992-07-07(189)",1991258,1992189,8923.71582,0,406.910065,286.625,"Okanogan","wheat","48.53125N","119.59375W"
"132","1993-08-06(218)",1992258,1993218,9503.443359,0,327.667419,372.824982,"Okanogan","wheat","48.53125N","119.59375W"
"133","1994-07-24(205)",1993258,1994205,9941.849609,0,380.21698,261.274994,"Okanogan","wheat","48.53125N","119.59375W"
"134","1995-07-20(201)",1994258,1995201,10063.09277,0,390.923096,430.049988,"Okanogan","wheat","48.53125N","119.59375W"
"135","1996-07-31(213)",1995258,1996213,9583.253906,0,374.393372,354.149994,"Okanogan","wheat","48.53125N","119.59375W"
"136","1997-08-08(220)",1996258,1997220,9529.750977,0,331.053375,499.549988,"Okanogan","wheat","48.53125N","119.59375W"
"137","1998-07-26(207)",1997258,1998207,9059.033203,0,336.667419,504,"Okanogan","wheat","48.53125N","119.59375W"
"138","1999-08-04(216)",1998258,1999216,9859.875,0,444.972046,340.325012,"Okanogan","wheat","48.53125N","119.59375W"
"139","2000-07-24(206)",1999258,2000206,10269.21582,0,419.351746,264.774994,"Okanogan","wheat","48.53125N","119.59375W"
"140","2001-08-03(215)",2000258,2001215,9418.172852,0,431.7034,198.824997,"Okanogan","wheat","48.53125N","119.59375W"
"141","2002-07-27(208)",2001258,2002208,9054.194336,0,433.059479,266.350006,"Okanogan","wheat","48.53125N","119.59375W"
"142","2003-07-22(203)",2002258,2003203,9514.079102,0,414.748138,305.025024,"Okanogan","wheat","48.53125N","119.59375W"
"143","2004-07-26(208)",2003258,2004208,9766.050781,0,415.687134,304.049988,"Okanogan","wheat","48.53125N","119.59375W"
"144","2005-07-23(204)",2004258,2005204,10044.67285,0,363.586914,284.325012,"Okanogan","wheat","48.53125N","119.59375W"
"145","2006-07-23(204)",2005258,2006204,9098.462891,0,375.817291,444.400024,"Okanogan","wheat","48.53125N","119.59375W"
"146","2007-07-25(206)",2006258,2007206,9011.736328,0,420.180756,289.225006,"Okanogan","wheat","48.53125N","119.59375W"
"147","2008-08-01(214)",2007258,2008214,8933.947266,0,431.682648,272.875,"Okanogan","wheat","48.53125N","119.59375W"
"148","2009-07-23(204)",2008258,2009204,9422.600586,0,445.99353,265.549988,"Okanogan","wheat","48.53125N","119.59375W"
"149","2010-07-25(206)",2009258,2010206,10656.10449,0,342.744965,400.974976,"Okanogan","wheat","48.53125N","119.59375W"
"150","2011-08-10(222)",2010258,2011222,10052.21387,0,363.709351,403.975006,"Okanogan","wheat","48.53125N","119.59375W"
"151","2012-07-31(213)",2011258,2012213,9490.328125,0,358.450287,385.475006,"Okanogan","wheat","48.53125N","119.59375W"
"152","2013-07-17(198)",2012258,2013198,9461.579102,0,344.254395,367.924988,"Okanogan","wheat","48.53125N","119.59375W"
"153","2014-07-20(201)",2013258,2014201,9772.993164,0,404.52597,240.75,"Okanogan","wheat","48.53125N","119.59375W"
"154","2015-07-01(182)",2014258,2015182,9635.931641,0,343.176056,328.599976,"Okanogan","wheat","48.53125N","119.59375W"
"155","2016-07-12(194)",2015258,2016194,9923.104492,0,357.44162,395.375,"Okanogan","wheat","48.53125N","119.59375W"
"156","2017-07-20(201)",2016258,2017201,9365.825195,0,364.389099,430.599976,"Okanogan","wheat","48.53125N","119.59375W"
"157","2018-07-22(203)",2017258,2018203,9250.360352,0,402.916687,367.149994,"Okanogan","wheat","48.53125N","119.59375W"
"158","2019-07-21(202)",2018258,2019202,9705.515625,0,416.270294,280.549988,"Okanogan","wheat","48.53125N","119.59375W"
"159","1980-09-09(253)",1980130,1980253,11813.36719,0,330,80.324997,"WallaWalla","corn","46.03125N","118.21875W"
"160","1981-08-30(242)",1981130,1981242,11119.98926,0,300,116.25,"WallaWalla","corn","46.03125N","118.21875W"
"161","1982-08-26(238)",1982130,1982238,9847.889648,0,240,69.75,"WallaWalla","corn","46.03125N","118.21875W"
"162","1983-08-28(240)",1983130,1983240,12115.31543,0,300,91.975006,"WallaWalla","corn","46.03125N","118.21875W"
"163","1984-08-31(244)",1984130,1984244,10069.06641,0,270,97.324997,"WallaWalla","corn","46.03125N","118.21875W"
"164","1985-08-23(235)",1985130,1985235,7712.772461,0,210,72.300003,"WallaWalla","corn","46.03125N","118.21875W"
"165","1986-08-20(232)",1986130,1986232,11156.93945,0,300,50.200001,"WallaWalla","corn","46.03125N","118.21875W"
"166","1987-08-28(240)",1987130,1987240,11352.62988,0,300,80.825005,"WallaWalla","corn","46.03125N","118.21875W"
"167","1988-08-28(241)",1988130,1988241,9968.348633,0,300,63.225002,"WallaWalla","corn","46.03125N","118.21875W"
"168","1989-09-05(248)",1989130,1989248,10972.44824,0,330,70.600006,"WallaWalla","corn","46.03125N","118.21875W"
"169","1990-08-25(237)",1990130,1990237,7634.922363,0,240,108.400002,"WallaWalla","corn","46.03125N","118.21875W"
"170","1991-09-01(244)",1991130,1991244,10785.10156,0,300,156.425003,"WallaWalla","corn","46.03125N","118.21875W"
"171","1992-08-18(231)",1992130,1992231,10382.55664,0,240,83.775002,"WallaWalla","corn","46.03125N","118.21875W"
"172","1993-09-03(246)",1993130,1993246,14009.10645,0,300,158.150009,"WallaWalla","corn","46.03125N","118.21875W"
"173","1994-08-21(233)",1994130,1994233,8605.393555,0,240,72.724998,"WallaWalla","corn","46.03125N","118.21875W"
"174","1995-09-02(245)",1995130,1995245,11777.22656,0,270,96.25,"WallaWalla","corn","46.03125N","118.21875W"
"175","1996-08-28(241)",1996130,1996241,10752.31836,0,300,77.200005,"WallaWalla","corn","46.03125N","118.21875W"
"176","1997-08-24(236)",1997130,1997236,12611.91992,0,330,63.225002,"WallaWalla","corn","46.03125N","118.21875W"
"177","1998-08-22(234)",1998130,1998234,9526.53125,0,270,79.824997,"WallaWalla","corn","46.03125N","118.21875W"
"178","1999-08-30(242)",1999130,1999242,11785.30469,0,360,30.9,"WallaWalla","corn","46.03125N","118.21875W"
"179","2000-08-27(240)",2000130,2000240,8763.862305,0,240,81.024994,"WallaWalla","corn","46.03125N","118.21875W"
"180","2001-08-26(238)",2001130,2001238,10463.40625,0,300,64.450005,"WallaWalla","corn","46.03125N","118.21875W"
"181","2002-08-25(237)",2002130,2002237,10942.26758,0,330,72.175003,"WallaWalla","corn","46.03125N","118.21875W"
"182","2003-08-19(231)",2003130,2003231,8858.876953,0,270,22.9,"WallaWalla","corn","46.03125N","118.21875W"
"183","2004-08-21(234)",2004130,2004234,9538.293945,0,270,111.5,"WallaWalla","corn","46.03125N","118.21875W"
"184","2005-08-23(235)",2005130,2005235,11267.06934,0,360,64.800003,"WallaWalla","corn","46.03125N","118.21875W"
"185","2006-08-20(232)",2006130,2006232,10137.55566,0,270,87.799995,"WallaWalla","corn","46.03125N","118.21875W"
"186","2007-08-19(231)",2007130,2007231,9716.932617,0,270,46.375,"WallaWalla","corn","46.03125N","118.21875W"
"187","2008-08-25(238)",2008130,2008238,8256.004883,0,240,79.900002,"WallaWalla","corn","46.03125N","118.21875W"
"188","2009-08-20(232)",2009130,2009232,10557.33106,0,300,75.899994,"WallaWalla","corn","46.03125N","118.21875W"
"189","2010-09-05(248)",2010130,2010248,9756.083008,0,300,111.100006,"WallaWalla","corn","46.03125N","118.21875W"
"190","2011-09-10(253)",2011130,2011253,11895.66113,0,360,100.800003,"WallaWalla","corn","46.03125N","118.21875W"
"191","2012-08-28(241)",2012130,2012241,10824.30078,0,270,102.174995,"WallaWalla","corn","46.03125N","118.21875W"
"192","2013-08-21(233)",2013130,2013233,8933.939453,0,240,77.200005,"WallaWalla","corn","46.03125N","118.21875W"
"193","2014-08-17(229)",2014130,2014229,10651.44141,0,330,50.25,"WallaWalla","corn","46.03125N","118.21875W"
"194","2015-08-05(217)",2015130,2015217,5909.680176,0,180,46.599998,"WallaWalla","corn","46.03125N","118.21875W"
"195","2016-08-27(240)",2016130,2016240,11672.60645,0,330,71.525002,"WallaWalla","corn","46.03125N","118.21875W"
"196","2017-08-22(234)",2017130,2017234,9282.505859,0,270,26.950001,"WallaWalla","corn","46.03125N","118.21875W"
"197","2018-08-22(234)",2018130,2018234,9878.321289,0,330,5.5,"WallaWalla","corn","46.03125N","118.21875W"
"198","2019-08-28(240)",2019130,2019240,11113.35742,0,330,64.974998,"WallaWalla","corn","46.03125N","118.21875W"
"199","1980-09-10(254)",1980130,1980254,12988.31738,0,433.880096,72.375,"WallaWalla","corn","46.28125N","118.65625W"
"200","1981-09-01(244)",1981130,1981244,13176.18652,0,434.721313,90.25,"WallaWalla","corn","46.28125N","118.65625W"
"201","1982-08-26(238)",1982130,1982238,11972.65723,0,376.667389,55.325001,"WallaWalla","corn","46.28125N","118.65625W"
"202","1983-08-29(241)",1983130,1983241,13456.93555,0,411.151733,61.949997,"WallaWalla","corn","46.28125N","118.65625W"
"203","1984-09-01(245)",1984130,1984245,11948.41992,0,416.755951,71.800003,"WallaWalla","corn","46.28125N","118.65625W"
"204","1985-08-23(235)",1985130,1985235,11844.79004,0,438.867218,47.075001,"WallaWalla","corn","46.28125N","118.65625W"
"205","1986-08-22(234)",1986130,1986234,12810.99805,0,429.748749,35.599998,"WallaWalla","corn","46.28125N","118.65625W"
"206","1987-08-29(241)",1987130,1987241,12425.32227,0,399.835114,58.674999,"WallaWalla","corn","46.28125N","118.65625W"
"207","1988-08-27(240)",1988130,1988240,12646.63379,0,436.833405,53.924999,"WallaWalla","corn","46.28125N","118.65625W"
"208","1989-09-04(247)",1989130,1989247,12880.21191,0,432.542389,46.975002,"WallaWalla","corn","46.28125N","118.65625W"
"209","1990-08-24(236)",1990130,1990236,11068.8457,0,410.101868,72.850006,"WallaWalla","corn","46.28125N","118.65625W"
"210","1991-08-31(243)",1991130,1991243,12232.41309,0,403.47522,103.625,"WallaWalla","corn","46.28125N","118.65625W"
"211","1992-08-17(230)",1992130,1992230,11685.02832,0,369.830139,63.199997,"WallaWalla","corn","46.28125N","118.65625W"
"212","1993-09-02(245)",1993130,1993245,14463.79199,0,395.126068,104.224998,"WallaWalla","corn","46.28125N","118.65625W"
"213","1994-08-21(233)",1994130,1994233,12207.2002,0,435.720154,66.950005,"WallaWalla","corn","46.28125N","118.65625W"
"214","1995-09-02(245)",1995130,1995245,13128.45117,0,391.434326,75.450005,"WallaWalla","corn","46.28125N","118.65625W"
"215","1996-08-29(242)",1996130,1996242,12479.73438,0,412.475891,63.699997,"WallaWalla","corn","46.28125N","118.65625W"
